Gene,X5EGGE,X5EQMM,X5GICA,X5N9D6,X5P9GB,X5N9ES,X5P9GS,X5N9E1
RPL19P14,0,1,0,0,0,0,4,4
RP11-44N12.4,0,0,0,2,0,0,10,12
MRPL57P7,0,0,0,0,0,0,0,4
RN7SKP85,0,0,0,0,0,0,0,0
RP11-44N12.5,1,0,0,0,0,0,57,37
OSR2,9,17,69,157,444,99,7504,8966
RP11-44N12.2,0,0,0,0,1,0,6,2
RP11-410L14.2,12,10,55,31,52,34,99,103
RP11-410L14.1,4,3,0,4,5,3,53,49
VPS13B,840,1399,2542,3278,2263,1256,9839,6267
CTD-2340D6.2,0,0,0,1,0,1,2,0
CTD-2340D6.1,0,0,0,3,0,0,2,0
AP004290.1,2,14,1,8,2,0,8,8
AP004289.2,0,0,0,0,1,0,0,0
AP004289.1,0,0,0,0,0,0,0,2
MIR599,0,0,0,0,0,0,0,0
MIR875,0,0,0,0,0,0,0,0
RN7SL350P,0,0,0,0,0,0,0,0
AC018442.1,0,0,0,4,0,0,6,5
RP11-402L5.1,2,0,0,4,0,0,2,0
RP11-402L5.2,0,0,0,1,0,0,0,0
COX6C,4252,5820,4560,1945,4284,2888,7582,6410
RGS22,0,8,68,748,24,14,1951,1796
MIR1273A,0,0,0,0,0,0,0,0
FBXO43,4,16,14,0,30,19,110,12
POLR2K,870,889,1692,1068,1256,648,2218,2218
SPAG1,306,472,583,908,385,131,193,254
RP11-316J7.4,1,1,0,0,0,0,2,0
RNF19A,1169,4435,4964,6595,2780,1490,6123,6394
KB-1991G8.1,0,0,4,8,0,1,0,1
KB-173C10.2,0,0,0,0,0,0,0,0
MIR4471,0,0,0,0,0,0,0,0
KB-173C10.1,0,0,0,5,0,0,0,0
KB-1615E4.2,10,9,0,0,3,0,1,0
KB-1615E4.3,0,4,0,1,0,4,0,0
ANKRD46,749,2324,877,666,1574,961,2716,2776
GAPDHP62,3,2,0,1,1,1,2,4
SNX31,0,14,2,22,5,3,19,20
KB-1083B1.1,0,0,0,1,0,0,0,0
RNU6-1092P,0,0,0,0,0,0,0,0
PABPC1,13734,12549,30376,45894,53769,27071,141215,94179
RNU6ATAC41P,0,0,0,0,0,0,0,0
RPS20P23,0,0,0,0,0,0,0,0
RNU4-83P,0,0,0,0,0,0,0,0
RPS26P6,5,1,2,4,2,2,8,13
RP11-521I2.3,7,26,16,20,8,5,33,81
YWHAZ,4352,8384,19695,19303,17505,11023,35169,29351
RN7SL685P,0,0,0,0,0,0,0,0
FLJ42969,0,2,4,0,0,2,1,0
KB-1460A1.1,0,0,2,0,4,1,0,0
KB-1460A1.2,0,0,0,0,1,0,0,0
RN7SKP249,0,0,0,0,1,0,0,0
KB-1460A1.3,0,0,0,0,0,0,1,0
KB-1460A1.5,142,368,324,950,1391,905,762,1778
ZNF706,1244,2684,3510,2974,15101,10765,5318,5054
KB-1410C5.5,1,5,19,8,39,23,29,44
KB-1410C5.1,0,0,0,0,5,0,0,0
KB-1410C5.2,0,0,0,0,43,32,0,0
KB-1410C5.3,0,1,0,0,4,5,7,0
RNU7-67P,0,0,0,0,0,0,0,0
KB-1410C5.4,0,0,0,0,0,0,0,0
NACAP1,3,5,4,8,24,23,49,71
DUXAP2,0,0,0,0,0,0,0,0
KB-1930G5.3,0,0,0,0,0,0,0,0
RN7SL563P,0,0,0,0,0,0,0,0
KB-1930G5.4,0,0,0,0,0,0,0,0
KB-1562D12.1,0,0,7,9,1,10,0,0
GRHL2,24,46,852,785,2146,1579,15,12
KB-1562D12.2,0,0,0,0,0,0,0,0
KB-1562D12.3,0,0,0,0,0,0,0,0
NCALD,504,1789,2693,1600,860,525,8110,3366
KB-1396H2.2,0,0,0,2,0,0,6,5
MIR5680,0,0,0,0,0,0,0,0
KB-1073A2.1,0,0,0,0,0,0,0,0
RRM2B,682,2389,1815,3555,1730,857,2412,2273
UBR5-AS1,83,209,458,473,269,244,461,747
SUMO2P19,1,3,7,10,2,1,11,11
UBR5,1530,3035,6068,8957,5988,3309,16386,11417
KB-431C1.5,36,106,46,299,25,24,262,285
KB-1980E6.2,2,4,0,0,1,0,3,2
RNU6ATAC8P,0,0,0,0,0,0,0,1
HSPE1P14,0,0,0,0,0,0,3,0
RPS12P15,0,0,0,0,0,0,0,0
KB-1980E6.3,0,0,2,1,0,0,3,0
RNU6-1224P,0,0,0,0,0,0,0,0
ODF1,2,2,2,2,0,0,0,2
POU5F1P2,0,0,0,0,0,0,0,0
KLF10,646,12164,5991,6831,14771,2983,6124,2157
KB-1042C11.5,0,6,28,31,19,4,4,12
ADI1P2,0,0,0,0,0,0,0,0
KB-1732A1.1,67,28,37,28,21,14,35,16
AZIN1,2512,5799,3795,6609,12582,9779,11366,6825
KB-1254G8.1,0,0,0,1,0,0,4,4
AZIN1-AS1,22,74,51,94,440,274,225,199
KB-1507C5.3,0,0,2,2,4,4,8,3
RPL5P24,6,2,13,2,13,20,45,51
KB-1507C5.4,2,7,4,34,51,16,12,32
NPM1P52,0,0,0,0,0,0,0,0
KB-1639H6.2,0,0,0,0,0,0,0,0
ATP6V1C1,1452,2852,3549,2589,3381,1748,5693,4753
MTND1P5,0,0,0,0,0,0,2,0
MTCO1P4,0,0,0,0,0,0,0,0
MTCO2P4,0,0,0,0,0,0,0,0
LINC01181,0,0,0,5,0,0,1,0
BAALC-AS2,0,1,0,24,3,3,11,3
BAALC,188,119,339,562,561,116,439,178
MIR3151,0,0,0,0,0,0,0,0
BAALC-AS1,9,2,90,45,122,27,81,45
FZD6,411,515,2033,1206,1663,1123,1425,1291
CTHRC1,14,35,73,189,161,127,788,143
RP11-1C8.6,10,20,12,9,4,3,8,17
RNU6-1011P,1,0,4,1,2,0,1,1
SLC25A32,782,1553,1129,1128,979,546,2002,2006
DCAF13,870,637,883,592,1605,1055,2176,1446
RP11-1C8.5,2,2,4,0,10,4,4,8
RP11-1C8.7,0,0,0,0,0,4,3,0
RP11-1C8.4,0,1,0,0,3,2,7,0
RIMS2,3,2,0,31,35,62,51,394
RP11-5A11.1,0,0,0,0,0,1,0,0
RP11-5A11.2,0,0,0,0,0,0,0,0
RP11-771F20.1,3,0,0,2,2,2,4,4
DPYS,3946,26032,15,97,4,0,6,32
DCSTAMP,8,30,12,57,2,0,4,2
KB-1552D7.2,32,299,0,2,0,0,2,0
KB-1742H10.3,4,5,10,10,8,6,16,13
MIR548A3,0,0,0,0,1,0,0,0
LRP12,31,139,465,560,467,202,1847,941
NDUFA5P2,0,0,0,0,0,0,0,0
ZFPM2,108,357,604,553,175,38,8905,6703
RP11-85M22.1,0,0,0,0,0,0,0,0
RP11-200A13.1,0,0,0,0,0,0,0,0
RP11-200A13.3,0,0,0,0,0,0,0,0
RP11-200A13.2,0,0,0,0,0,0,0,0
RP11-574O7.1,0,0,0,0,4,2,0,0
TMCC1P1,0,0,0,0,0,0,0,0
RP11-273P3.1,0,0,0,0,0,0,0,0
RP11-642D21.2,0,0,3,2,0,0,17,0
RP11-642D21.1,0,0,0,0,0,0,6,5
RPL12P24,0,0,0,0,0,0,6,3
ZFPM2-AS1,2,18,1,9,6,9,85,106
RP11-152P17.3,0,0,2,0,0,0,1,0
SLC16A14P1,0,0,0,0,0,0,0,0
RP11-778D12.2,0,0,0,0,0,0,0,0
RP11-395G23.3,22,98,58,131,74,65,270,414
OXR1,464,1940,1802,1870,2283,1328,5227,4012
RP11-649G15.2,0,0,4,0,0,2,5,16
TAGLN2P1,5,2,14,31,14,13,10,10
RNU7-84P,0,0,0,0,0,0,0,0
ABRA,0,2,16,14,5,5,0,0
KB-1433G4.1,0,0,0,0,0,0,0,0
HMGB1P46,0,0,2,0,0,0,0,0
ANGPT1,20,207,2817,1479,168,73,1672,427
PGAM1P13,0,0,0,0,0,0,0,0
RNA5SP275,0,0,0,0,0,0,0,0
RSPO2,13,10,550,200,0,0,105,16
NRBF2P4,0,2,0,0,0,0,0,0
AP001331.1,0,0,0,0,0,0,0,6
EIF3E,4320,4815,9118,8454,20948,14071,49526,62131
RP11-35G22.1,1,1,1,9,2,0,4,3
RPS17P14,0,0,0,0,0,0,0,0
EMC2,750,1011,2029,1660,2227,1510,2662,2254
RP11-25P11.2,0,0,0,0,0,0,0,0
RP11-790J24.1,0,0,0,0,0,0,0,0
TMEM74,24,38,2,8,29,20,6,16
TRMT10BP1,0,0,0,0,0,0,0,0
RP11-1084E5.1,0,0,1,1,5,1,0,0
TRHR,0,0,0,5,0,4,8,0
NUDCD1,329,487,749,1243,1017,561,1852,1301
RP11-122A21.2,0,0,0,0,0,0,0,0
ENY2,1584,2263,2541,1694,2154,1527,3147,2608
PKHD1L1,86,18,1299,2313,154,84,109,212
RP11-419L20.2,0,2,6,2,0,0,0,0
EBAG9,675,945,1327,590,2581,1371,1666,1441
SYBU,2050,6138,1334,481,5785,32747,563,553
RP11-422N16.3,66,107,2,1,59,262,2,2
RP11-25D10.2,0,0,0,0,0,0,0,0
RP11-25D10.1,0,0,0,0,0,0,0,0
KCNV1,0,1,0,0,25,17,0,0
RPSAP48,0,0,0,0,0,0,0,0
RP11-211F2.1,0,0,0,0,0,1,0,0
CTD-2544L4.1,0,0,0,0,0,0,4,0
RP11-238I10.1,0,0,0,0,0,0,0,0
KB-1299A7.2,0,0,0,0,0,0,0,0
NDUFB9P3,0,0,0,0,0,0,0,0
MTCO1P47,0,0,0,0,0,0,0,0
LINC01608,0,0,0,0,0,0,1,0
LINC01609,0,0,0,0,0,0,0,0
RP11-114O8.1,0,0,0,0,0,0,0,0
EEF1A1P37,0,0,0,0,0,0,0,0
RP11-1101K5.1,1,0,0,0,0,0,7,5
SERPINA15P,0,0,0,0,0,0,0,0
RP11-58O3.1,0,0,0,0,0,0,0,0
RP11-58O3.2,0,0,0,0,0,0,0,0
RNU4-37P,0,0,0,0,0,0,0,0
CSMD3,0,2,0,0,146,54,2,8
RPL30P16,0,0,0,0,0,0,0,0
MIR2053,0,0,0,0,0,0,0,0
RP11-709P2.1,0,0,0,0,5,17,0,1
RP11-67H2.1,0,0,0,0,1,0,0,0
RP11-267L5.1,0,0,1,2,0,0,0,0
RP11-393K19.1,0,0,0,0,0,0,0,0
CARSP2,0,0,0,0,0,0,0,0
TRPS1,107,606,847,2190,353,281,3105,1599
AF178030.2,0,0,0,0,1,0,0,0
LINC00536,0,0,0,0,0,0,5,0
RNA5SP276,0,0,0,0,0,0,0,0
RP11-536K17.1,0,0,0,0,0,0,0,0
EIF3H,2689,2870,7632,6339,11669,7254,30654,33249
UTP23,341,746,743,394,741,560,1878,1401
RAD21,2373,4852,9975,6914,4373,2924,17467,10130
RAD21-AS1,2,6,12,0,8,8,16,15
AARD,0,0,266,14,16,7,33,10
SLC30A8,0,0,5,0,1027,1317,38,14
RN7SL228P,0,0,0,0,0,0,0,0
RP11-1059L18.1,0,0,0,0,0,0,0,0
RP11-654G14.1,0,0,0,0,1,1,2,0
RN7SL826P,0,0,0,0,0,0,0,0
MED30,201,332,771,356,419,309,1310,1168
RPS10P16,3,5,1,2,2,2,6,7
EXT1,2793,4030,4055,3396,2126,1517,5793,2450
AC113188.2,0,0,0,0,0,0,0,0
SAMD12,315,746,1151,817,746,307,139,145
AC023590.1,3,10,2,7,4,0,13,6
SAMD12-AS1,0,0,8,10,7,0,2,0
RPS26P35,0,0,0,0,0,0,0,2
TNFRSF11B,487,412,322,2436,72,37,93,4
RNU6-12P,0,0,0,0,0,0,0,0
RP11-278I4.1,0,0,0,0,0,0,0,0
COLEC10,291,2183,81,11,0,0,0,3
RP11-278I4.2,0,2,0,0,0,0,0,0
MAL2,870,3852,4401,2584,3111,2370,17,19
MIR548AZ,0,0,0,0,0,0,0,0
SNORA32,0,0,1,0,0,0,1,1
NOV,12,37,512,278,255,266,89,107
RP11-775B15.2,0,0,0,0,0,0,0,0
RP11-775B15.3,0,0,0,0,0,0,2,2
ENPP2,278,1824,1314,3039,1139,1638,5225,825
CYCSP23,0,2,0,0,0,0,1,1
RN7SKP153,0,0,0,0,0,0,0,1
TAF2,747,943,1580,1034,1381,793,4052,3092
DSCC1,51,54,124,25,322,131,421,230
RP11-85I17.2,16,5,10,8,37,6,73,25
RN7SL396P,0,2,1,0,0,2,1,1
KB-1471A8.1,3,5,1,0,6,2,15,11
RNA5SP277,0,0,0,0,0,0,0,0
DEPTOR,414,1189,216,159,883,221,5113,2341
RP11-760H22.2,26,183,18,14,65,22,373,341
COL14A1,224,1776,1326,2534,603,417,83838,13912
MRPL13,843,987,933,386,970,514,969,778
MTBP,60,53,130,45,161,80,636,329
SNTB1,2471,10882,1930,1592,2144,1602,616,309
NCAPGP1,11,73,4,7,0,0,0,4
RP11-713M15.1,0,1,2,12,1,2,0,0
RP11-713M15.2,51,118,30,15,183,119,7,3
RP11-369K17.1,0,0,0,0,0,0,0,0
RP11-369K17.2,0,0,0,0,0,0,0,0
RPL35AP19,0,0,0,0,0,0,0,0
HAS2,0,4,34,396,28,12,90,16
HAS2-AS1,0,1,1,7,0,1,2,1
RP11-3G20.1,0,0,0,0,0,0,0,0
RP11-3G20.2,0,0,0,0,2,0,0,0
RP11-785H20.1,0,0,0,0,0,0,1,0
RP11-398G24.2,0,0,0,0,0,0,0,0
MRPS36P3,0,0,0,0,0,0,0,0
SMILR,1,10,0,0,0,0,0,0
RP11-96B2.1,0,3,0,0,0,0,0,0
LINC01151,0,25,0,0,1,1,0,0
RP11-973F15.2,1,2,0,0,0,0,0,0
CDK5P1,0,0,0,0,0,0,0,0
RP11-44N11.2,4,19,8,0,12,22,8,34
RP11-44N11.3,0,4,2,0,0,5,0,5
ZHX2,736,2876,2190,2883,2921,2841,6514,6732
RP11-44N11.1,0,1,0,2,0,0,1,10
RP11-557C18.4,0,1,0,0,0,1,2,0
RP11-557C18.3,0,0,0,4,1,0,0,0
DERL1,1466,3154,3397,3074,3082,2354,5673,4372
TBC1D31,79,155,173,343,191,188,363,285
HMGB1P19,2,0,1,4,1,1,1,2
FAM83A,23,27,2,122,2,5,10,6
RP11-539E17.5,1,0,0,0,0,0,0,0
RP11-539E17.3,0,0,0,0,0,0,0,0
FAM83A-AS1,323,137,0,2,3,1,1,0
MIR4663,0,0,0,0,0,0,0,0
C8orf76,452,906,814,714,803,663,710,860
UBA52P5,1,0,1,4,7,4,10,7
ZHX1,1119,3651,2022,1606,1811,1048,5213,3472
RNU6-628P,0,0,0,0,0,0,0,1
RP11-468O2.1,0,3,4,0,0,0,33,42
ATAD2,508,1412,825,1164,680,425,3235,2066
RNU6-875P,0,1,0,1,0,0,2,2
DUTP2,0,5,0,4,2,0,12,6
IMPDH1P6,5,3,2,0,4,3,10,2
WDYHV1,154,250,301,398,997,542,1490,1718
FBXO32,115,289,2319,1962,1711,1434,10522,6092
RP11-174I12.2,0,0,0,0,1,0,0,0
RN7SKP155,0,0,0,0,0,0,0,0
CTD-2552K11.2,0,0,0,0,0,0,0,0
KLHL38,0,6,34,0,0,4,59,18
ANXA13,22,54,0,6,9,11,28,27
FAM91A1,1728,4017,2631,3160,2453,1459,5031,3528
FER1L6,0,0,0,4,0,1,9,10
RP11-245A18.1,0,0,0,0,0,0,0,0
FER1L6-AS1,0,0,0,0,1,0,0,0
RP11-959I15.4,0,0,0,0,0,0,0,0
FER1L6-AS2,0,0,0,0,0,0,1,0
RP11-959I15.1,0,0,0,0,0,0,0,0
ARF1P3,0,0,0,0,0,0,0,0
RP11-37N22.1,0,2,2,5,4,2,7,2
RNU6-756P,0,0,0,0,0,0,0,0
RP11-383J24.1,0,0,0,1,0,1,0,0
RP11-383J24.2,1,0,1,2,2,0,3,1
TMEM65,392,858,1270,1602,1528,905,2413,2756
TRMT12,230,279,636,400,420,245,697,445
RNF139-AS1,155,171,262,121,184,176,362,1520
RNF139,663,2045,1826,1254,2001,1272,3462,3203
TATDN1,290,289,643,456,2117,1325,1928,2092
RP11-158K1.3,125,285,124,253,159,137,359,637
MIR6844,0,0,0,0,0,0,0,0
NDUFB9,3974,3776,4258,1806,5293,5292,3577,3406
MTSS1,2430,14623,4821,4914,4115,1571,2072,1524
RP11-532M24.1,23,111,24,39,42,11,25,5
RP11-1082L8.3,1,2,9,7,1,0,1,2
MIR4662B,0,0,0,0,0,0,0,0
LINC00964,6,26,124,10,53,14,7,6
RP11-1082L8.1,0,1,0,0,0,0,0,0
RP11-1082L8.2,0,0,0,0,0,0,0,0
ZNF572,63,81,96,44,94,65,459,311
RP11-6D1.3,0,0,0,0,0,1,0,0
SQLE,143,5146,2708,1469,1167,1168,4535,1090
WASHC5,562,872,2295,948,2887,1186,3895,2687
WASHC5-AS1,3,9,6,7,2,0,12,14
NSMCE2,330,421,689,451,748,357,1675,1237
RN7SL329P,0,2,0,0,3,0,0,0
RP11-550A5.2,0,2,0,6,2,6,0,0
TRIB1,1042,13961,2747,4841,2838,1344,797,163
RP11-136O12.2,0,27,0,0,0,0,0,2
RP11-697B24.1,0,3,0,0,0,0,0,0
RNU6-442P,0,0,1,0,0,0,0,0
LINC00861,26,74,395,453,28,10,19,6
SOD1P3,0,13,1,42,0,0,7,0
RP11-622O11.4,0,1,0,0,0,0,0,0
KNOP1P5,0,0,0,0,0,0,0,0
RFPL4AP5,0,0,0,0,0,0,0,0
RP11-65D17.1,0,0,0,0,0,0,2,0
RP11-103H7.1,0,0,0,0,0,0,0,0
RP11-103H7.2,0,0,4,0,4,0,0,0
RNU6-869P,0,0,0,1,0,0,0,0
RP11-103H7.3,0,4,2,0,0,0,0,0
FAM84B,910,2521,3915,1418,2618,1572,1122,559
RP11-89K10.1,3,11,4,3,7,7,4,2
RP11-89K10.2,0,0,0,0,0,0,0,1
RNU11-4P,0,0,0,0,0,0,0,0
RP11-351C8.1,0,1,0,0,0,0,0,0
PCAT1,10,5,7,7,4,9,12,5
PCAT2,0,0,0,1,0,0,0,0
PRNCR1,2,11,5,11,5,4,7,14
CASC19,0,3,0,0,0,0,0,0
CCAT1,35,6,0,0,0,0,0,0
CASC8,0,1,0,0,5,2,4,0
RP11-382A18.3,0,0,0,0,0,0,0,0
CASC21,0,1,2,4,0,2,1,0
CCAT2,0,0,3,2,3,0,0,0
POU5F1B,9,28,44,14,46,28,7,32
CASC11,0,0,0,1,15,8,1,4
MYC,900,1338,2219,3079,3408,7298,16214,7867
PVT1,48,58,123,388,16,33,2199,1622
TMEM75,0,0,0,2,0,0,23,10
MIR1205,0,0,0,0,0,0,0,0
RNU1-106P,0,4,3,4,0,0,13,16
MIR1206,0,0,0,0,0,0,0,0
RP11-55J15.2,0,0,0,0,0,0,0,0
RNU4-25P,0,0,0,2,0,0,2,0
MIR1207,0,0,0,0,0,0,0,0
MIR1208,0,0,0,0,0,0,0,0
RN7SKP226,0,0,0,0,0,0,1,0
LINC00824,0,1,10,2,0,0,2,0
LINC00976,0,0,0,0,0,0,0,1
LINC00977,0,2,0,0,0,0,0,0
RP11-1057N3.2,0,0,0,0,0,0,0,0
RN7SKP206,0,0,0,0,0,0,0,0
CCDC26,0,4,2,0,0,0,0,0
RP11-26E5.1,0,0,0,0,0,0,0,0
MIR3686,0,0,0,0,0,0,0,0
RP11-419K12.1,0,0,0,0,0,0,0,0
MTRF1LP2,0,0,0,0,0,0,0,0
GSDMC,0,4,34,32,6,0,7,0
RP11-473O4.5,3,20,10,84,19,14,22,35
FAM49B,477,867,2887,3999,1542,823,1760,968
RP11-473O4.1,0,0,0,2,0,0,4,0
RP11-473O4.4,1,0,2,2,1,1,0,1
RP11-473O4.3,0,0,1,0,0,0,0,0
RNU7-181P,0,0,0,0,0,0,0,0
MIR5194,0,0,0,0,0,0,0,0
ASAP1,689,1057,7143,8710,1937,752,9469,4922
RNU6-1255P,0,0,0,0,0,0,0,0
ASAP1-IT2,4,14,4,33,8,6,28,24
KB-1568E2.1,0,0,0,0,0,0,0,0
ADCY8,0,2,112,0,0,0,2,2
RP11-737F9.2,0,0,0,0,0,0,0,0
RP11-737F9.1,0,0,0,0,0,0,0,0
RP11-381I15.1,0,0,0,0,0,0,0,0
CTD-2501M5.1,0,0,13,2,0,0,0,0
CTD-2008O4.1,0,0,0,0,0,0,0,0
EFR3A,1481,5245,3010,3707,3286,1488,5643,4072
OC90,0,0,0,2,0,0,0,0
HHLA1,0,0,0,0,0,0,6,1
KCNQ3,4,13,485,445,373,153,44,67
HPYR1,0,0,0,2,0,0,0,0
LRRC6,14,64,202,862,153,98,366,497
TMEM71,13,77,589,933,35,18,104,8
PHF20L1,1115,2033,2445,2627,1561,1025,5028,4152
CTC-137K3.1,2,8,2,10,0,0,8,18
AF230666.2,7,22,36,28,12,9,37,31
TG,103,313,301,201,300,144,312,156
CTD-2182N23.1,0,2,0,1,2,2,5,6
SLA,202,274,8269,12058,631,217,733,80
MIR7848,0,0,1,12,0,0,1,1
WISP1,46,218,229,1883,89,38,1174,1044
NDRG1,616,6935,28868,25432,9983,8619,25936,30519
CTC-458A3.1,0,7,0,0,0,0,0,0
CTC-369M3.1,0,0,0,0,0,0,0,0
ST13P6,3,4,5,10,6,19,88,124
ST3GAL1,3842,12376,6629,5828,6144,2111,7199,5133
RP11-629O1.3,0,0,0,1,0,0,0,0
RP11-629O1.4,0,0,0,0,0,0,0,0
RP11-629O1.2,26,26,55,62,66,67,43,71
MTND2P7,1,0,0,0,0,0,0,0
MTCO1P49,0,0,0,0,0,0,0,0
CTD-2588J1.1,0,0,0,0,0,0,0,0
CTD-2309H9.3,0,0,0,0,0,0,0,0
CTD-2309H9.4,0,0,0,0,0,0,0,0
RP11-157E21.1,0,0,0,0,1,2,0,0
RP11-157E21.3,0,0,1,0,0,0,0,0
RP11-157E21.2,0,0,0,0,0,0,0,0
RP11-513H8.1,0,0,0,0,0,0,0,0
ZFAT,174,238,567,402,451,283,1077,563
ZFAT-AS1,0,0,0,0,0,0,0,0
CTD-2342N23.2,0,0,0,0,0,0,0,0
CTD-2342N23.3,26,70,8,6,2,1,0,0
CTD-2342N23.1,1,0,0,0,6,2,2,0
AC083843.4,232,270,216,82,219,325,122,140
AC083843.1,517,1476,1325,783,1166,700,1857,1857
MIR30B,0,0,0,0,0,0,0,0
MIR30D,0,0,0,0,0,0,0,0
AC083843.2,2,13,0,0,10,4,7,4
NCRNA00250,0,5,1,0,0,0,0,3
RP11-1057B8.2,0,0,0,0,0,0,4,0
RPL23AP56,0,0,0,0,0,0,0,0
LINC01591,0,0,3,0,0,0,0,0
RP11-343P9.1,0,0,0,0,0,0,0,0
KHDRBS3,232,393,1086,436,635,353,956,718
MAPRE1P1,2,2,2,0,0,0,3,0
RNU1-35P,0,0,0,0,0,0,0,0
RP11-149P24.1,0,0,0,0,0,0,0,0
RP11-431D12.1,0,0,0,2,0,0,0,0
LINC02055,2,2,13,1,0,0,10,6
RNU6-144P,0,0,0,0,0,0,0,0
ZYXP1,0,0,0,0,0,0,0,0
CTD-3145H4.1,0,0,0,0,0,0,0,0
RP11-238K6.1,0,0,362,10,0,0,3,0
RP11-238K6.2,0,0,0,0,0,0,0,0
RP11-489O18.1,4,13,10,3,2,0,0,0
FAM135B,6,0,6,6,26,26,3,0
COL22A1,4,0,8,9,19,12,129,268
RP11-324F11.1,0,0,0,0,0,0,0,0
CTD-2534J5.1,0,0,0,0,0,0,0,0
RP11-398H6.1,0,0,0,0,0,0,0,0
RP11-656A10.1,0,0,0,0,0,0,0,0
KCNK9,0,0,4,0,42,6,9,2
TRAPPC9,309,1668,1837,1576,2065,1831,2478,2003
RP11-284H18.1,0,11,0,0,0,0,0,0
C8orf17,0,2,0,3,0,0,1,0
RP11-570L14.1,2,0,0,0,2,0,0,1
PEG13,10,32,20,34,4,30,375,358
CTA-204B4.2,90,164,307,140,178,148,1182,1268
CHRAC1,718,898,1886,932,1907,1122,2306,1550
AGO2,752,1887,4622,7670,3242,2078,8920,6949
RP11-642A1.2,8,49,0,56,2,4,63,57
RP11-642A1.1,3,1,3,2,0,0,8,6
ERICD,4,31,47,29,29,10,229,279
PTK2,1033,2558,6310,4906,5307,3132,9236,6544
MIR151A,0,0,0,0,0,0,0,0
CTD-2014D20.1,0,8,2,10,8,2,19,32
RNA5SP278,0,0,1,0,0,0,0,0
RP11-128L5.1,0,0,2,0,0,4,4,0
DENND3,246,496,15819,18441,1558,501,2333,4554
RP11-809O17.1,7,4,119,33,10,7,24,40
SLC45A4,85,101,1565,1545,2593,1481,1264,1326
RP11-10J21.2,3,2,13,8,6,8,12,1
RP11-10J21.4,1,0,0,5,1,0,2,3
RP11-10J21.3,0,0,1,0,0,0,0,0
RP11-10J21.5,0,0,0,0,0,0,0,0
RP11-10J21.6,0,0,3,0,0,0,0,0
LINC01300,0,0,6,0,0,0,0,9
CTD-3064M3.3,12,17,292,216,40,22,70,130
GPR20,3,1,129,95,12,4,22,44
CTD-3064M3.4,0,0,36,4,1,4,0,4
PTP4A3,170,132,3800,3915,2149,1298,3027,1710
MROH5,1,1,4,3,1,0,14,1
CTD-3064M3.7,14,3,61,131,87,28,364,200
HNRNPA1P38,0,0,1,0,0,1,2,2
AC138647.1,0,0,0,0,0,0,0,0
MIR1302-7,0,0,0,0,0,0,0,0
RP11-953B20.2,0,0,0,0,0,2,4,0
RP11-953B20.1,0,0,0,1,0,0,2,0
MIR4472-1,0,0,0,0,0,0,0,0
LINC00051,0,0,0,0,3,2,0,0
TSNARE1,874,1121,1433,582,3379,2325,2493,3004
RN7SL260P,0,0,0,0,2,0,0,0
RP13-467H17.1,2,4,8,0,12,10,29,56
ADGRB1,17,27,145,115,98,58,643,1125
MROH4P,0,0,1,1,0,0,0,0
ARC,7,7,512,325,77,85,58,115
AP006547.3,0,0,0,0,0,0,2,1
AC145123.2,0,0,0,0,0,0,0,0
JRK,416,750,1455,697,1371,1210,6388,4040
PSCA,19,9,28,62,5,7,16,77
LY6K,2,11,22,5,1,3,50,13
CTD-2292P10.4,3,18,3,1,8,13,14,7
THEM6,1380,2999,1278,366,2336,2143,778,722
SLURP1,2,2,5,0,0,0,1,5
LYPD2,45,0,13,10,0,2,2,4
RP11-706C16.7,2,118,0,3,1,0,7,4
LYNX1,4,13,14,32,2,10,31,42
LY6D,8,9,9,1,9,11,6,10
RP11-706C16.8,0,0,0,0,0,0,1,0
RP11-706C16.13,0,0,0,0,0,0,0,0
RP11-706C16.5,0,0,0,0,0,0,0,0
GML,0,0,0,0,0,0,4,0
ZNHIT1P1,1,0,0,1,0,0,1,0
CYP11B1,58,0,39,4,20,110,13,53
CYP11B2,0,0,0,0,0,1,0,1
RP11-273G15.2,15,125,56,33,8,6,198,114
CDC42P3,0,3,6,0,0,0,11,25
LY6E,7261,26807,13541,9357,2439,1085,16895,12370
C8orf31,15,103,97,65,35,18,90,105
AK3P2,0,3,1,0,1,0,1,2
RP11-520P18.1,0,0,0,0,0,1,0,1
LY6L,1,0,0,0,0,0,0,0
LY6H,0,2,2,37,20,21,91,17
GPIHBP1,86,19,2654,2570,225,65,1403,449
ZFP41,361,423,725,355,648,554,2357,1497
GLI4,751,1218,1107,581,1393,1340,1619,2519
MINCR,66,143,225,88,285,309,371,489
ZNF696,216,333,371,118,480,489,927,742
RP13-582O9.7,14,9,13,3,18,7,6,9
TOP1MT,1450,2282,679,773,1438,1165,4105,3922
RNU6-220P,0,0,0,0,0,0,0,0
RHPN1-AS1,6,22,22,31,42,40,8,9
RHPN1,121,198,721,2842,982,1106,393,181
RP11-909N17.2,0,1,1,3,2,2,0,0
MAFA-AS1,0,0,2,2,0,2,0,0
MAFA,0,2,7,6,76,233,3,2
ZC3H3,1120,2822,2965,2750,1859,1223,3679,2167
RP11-661A12.5,20,30,47,33,10,4,52,2
RP11-661A12.4,0,0,0,0,0,0,0,0
GSDMD,4867,5795,5485,7808,3063,2768,8707,9122
MROH6,212,482,569,1068,149,125,687,597
RP11-661A12.9,94,138,164,104,56,44,85,146
